sku,name,brand,category,description,price_inr,original_price_inr,stock,prescription_required,image_url,image_status,image_source,is_demo_data,active
MS-DEMO-0001,Adhesive Bandage Pack - Variant 1,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,136,192,36,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0002,Adhesive Bandage Pack - Variant 2,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,173,235,47,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0003,Adhesive Bandage Pack - Variant 3,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,210,278,58,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0004,Adhesive Bandage Pack - Variant 4,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,247,321,69,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0005,Adhesive Bandage Pack - Variant 5,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,284,364,80,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0006,Sterile Gauze Pads - Variant 1,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,321,407,91,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0007,Sterile Gauze Pads - Variant 2,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,358,450,102,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0008,Sterile Gauze Pads - Variant 3,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,395,493,113,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0009,Sterile Gauze Pads - Variant 4,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,432,536,124,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0010,Sterile Gauze Pads - Variant 5,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,469,579,135,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0011,Elastic Crepe Bandage - Variant 1,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,506,622,146,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0012,Elastic Crepe Bandage - Variant 2,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,543,665,157,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0013,Elastic Crepe Bandage - Variant 3,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,580,708,168,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0014,Elastic Crepe Bandage - Variant 4,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,617,751,29,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0015,Elastic Crepe Bandage - Variant 5,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,654,794,40,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0016,Antiseptic Wound Dressing - Variant 1,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,691,837,51,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0017,Antiseptic Wound Dressing - Variant 2,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,728,880,62,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0018,Antiseptic Wound Dressing - Variant 3,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,765,923,73,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0019,Antiseptic Wound Dressing - Variant 4,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,802,966,84,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0020,Antiseptic Wound Dressing - Variant 5,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,839,1009,95,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0021,First Aid Kit - Variant 1,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,876,1052,106,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0022,First Aid Kit - Variant 2,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,913,1095,117,False,,NEEDS_VERIFIED_IMAGE,,True,True
MS-DEMO-0023,First Aid Kit - Variant 3,Demo Catalog Brand,First Aid,Development-only catalog record. Replace with verified supplier/manufacturer data before production.,950,1138,128,False,,NEEDS_VERIFIED_IMAGE,,True,True
